№,Name,Description,Price,Image Url
53,Сотовый телефон Samsung Galaxy A73 5G 8/128GB белый,"

Сотовый телефон Samsung Galaxy A73 5G 8/128GB белый

        6.7"" OLED 2400x1080 ~120Гц; процессор Snapdragon 778G; память 8/128 GB; основная камера 108+12+5+5 mpx (OIS); фронтальная 32 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 5G            ",31350 сом,/images/product/107073/1653798260_61509500.jpg
54,Сотовый телефон Apple iPhone 14 Pro Max 1TB космический черный,"

Сотовый телефон Apple iPhone 14 Pro Max 1TB космический черный

        6.7"" OLED 2796x1290 ~120Гц; процессор A16 Bionic; память 6/1024 GB; основная камера 48+12+12 mpx; фронтальная 12 mpx; аккумулятор 4323 мАч; быстрая зарядка 23 Вт; iOS 16; GSM 5G            ",153560 сом,/images/product/111173/1667071163_70803900.jpg
55,Сотовый телефон Samsung Galaxy A23 4/64GB голубой,"

Сотовый телефон Samsung Galaxy A23 4/64GB голубой

        6.6"" PLS 2408x1080 ~90Гц; процессор Snapdragon 680; память 4/64 GB; основная камера 50+5+2+2 mpx; фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 4G            ",14600 сом,/images/product/105289/1649749218_11605000.jpg
56,Сотовый телефон Samsung Galaxy A23 4/64GB персиковый,"

Сотовый телефон Samsung Galaxy A23 4/64GB персиковый

        6.6"" PLS 2408x1080 ~90Гц; процессор Snapdragon 680; память 4/64 GB; основная камера 50+5+2+2 mpx; фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 4G            ",14600 сом,/images/product/105290/1649749259_77093200.jpg
57,Сотовый телефон Samsung Galaxy A23 4/64GB белый,"

Сотовый телефон Samsung Galaxy A23 4/64GB белый

        6.6"" PLS 2408x1080 ~90Гц; процессор Snapdragon 680; память 4/64 GB; основная камера 50+5+2+2 mpx; фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 4G            ",14600 сом,/images/product/105291/1649749329_43767500.jpg
58,Сотовый телефон Samsung Galaxy A23 4/64GB черный,"

Сотовый телефон Samsung Galaxy A23 4/64GB черный

        6.6"" PLS 2408x1080 ~90Гц; процессор Snapdragon 680; память 4/64 GB; основная камера 50+5+2+2 mpx; фронтальная 8 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 4G            ",14600 сом,/images/product/105292/1649749368_86203000.jpg
59,Сотовый телефон Itel A48 2/32GB зеленый,"

Сотовый телефон Itel A48 2/32GB зеленый

        6.1"" IPS 1560x720 ~60Гц; процессор Unisoc SC9832E; память 2/32 GB; основная камера 5 mpx; фронтальная 5 mpx; аккумулятор 3000 мАч; быстрая зарядка нет; Android 10; GSM 4G            ",4780 сом,/images/product/104272/1647329030_31470000.jpg
60,Сотовый телефон Itel A48 2/32GB черный,"

Сотовый телефон Itel A48 2/32GB черный

        6.1"" IPS 1560x720 ~60Гц; процессор Unisoc SC9832E; память 2/32 GB; основная камера 5 mpx; фронтальная 5 mpx; аккумулятор 3000 мАч; быстрая зарядка нет; Android 10; GSM 4G            ",4780 сом,/images/product/104273/1647329046_59522700.jpg
61,Сотовый телефон Itel Vision 1 Pro 2/32GB черный,"

Сотовый телефон Itel Vision 1 Pro 2/32GB черный

        6.5"" IPS 1600x720 ~60Гц; процессор Unisoc SC9832E; память 2/32 GB; основная камера 8 mpx; фронтальная 5 mpx; аккумулятор 4000 мАч; быстрая зарядка нет; Android 10; GSM 4G            ",5040 сом,/images/product/104274/1647330050_96188500.jpg
62,Сотовый телефон Samsung Galaxy A33 5G 6/128GB черный,"

Сотовый телефон Samsung Galaxy A33 5G 6/128GB черный

        6.4"" OLED 2400x1080 ~90Гц; процессор Exynos 1280; память 6/128 GB; основная камера 48+8+5+2 mpx (OIS); фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 5G            ",20970 сом,/images/product/106578/1652691752_34677700.jpg
63,Сотовый телефон Samsung Galaxy A33 5G 6/128GB голубой,"

Сотовый телефон Samsung Galaxy A33 5G 6/128GB голубой

        6.4"" OLED 2400x1080 ~90Гц; процессор Exynos 1280; память 6/128 GB; основная камера 48+8+5+2 mpx (OIS); фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 5G            ",20970 сом,/images/product/106579/1652691866_03439300.jpg
64,Сотовый телефон Samsung Galaxy A33 5G 6/128GB персиковый,"

Сотовый телефон Samsung Galaxy A33 5G 6/128GB персиковый

        6.4"" OLED 2400x1080 ~90Гц; процессор Exynos 1280; память 6/128 GB; основная камера 48+8+5+2 mpx (OIS); фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 5G            ",20970 сом,/images/product/106580/1652691995_19543500.jpg
65,Сотовый телефон Samsung Galaxy A33 5G 6/128GB белый,"

Сотовый телефон Samsung Galaxy A33 5G 6/128GB белый

        6.4"" OLED 2400x1080 ~90Гц; процессор Exynos 1280; память 6/128 GB; основная камера 48+8+5+2 mpx (OIS); фронтальная 13 mpx; аккумулятор 5000 мАч; быстрая зарядка 25 Вт; Android 12; GSM 5G            ",20970 сом,/images/product/106581/1652692112_53592600.jpg
